article,accuracy,MCC,F1,part,batch_size,epochs,training_size,train_distribution
2,0.7075757575757576,0.45637779437309556,0.7204695304695304,procedure+facts,16,20,114,50.0
3,0.7447994987468671,0.49253700305252995,0.7576574562466085,facts,16,20,568,50.0
5,0.6999999999999998,0.40501656292425914,0.6953404394600168,facts,16,20,300,50.0
6,0.7052197802197802,0.4116441953791843,0.7087479241270633,procedure+facts,16,20,916,50.0
8,0.6353623188405797,0.2751742677503764,0.6454346132625695,facts,16,20,458,50.0
10,0.5987012987012987,0.19991290830914132,0.62494994479205,procedure+facts,16,20,212,50.0
11,0.75,0.5421932813654128,0.7621428571428571,procedure,16,20,64,50.0
13,0.7922077922077921,0.6084148686787547,0.8043359420476124,procedure+facts,16,20,212,50.0
14,0.7639162561576355,0.5354067592635701,0.7790323395551427,procedure+facts,16,20,288,50.0
All,0.6992389247268065,0.39905660076029265,0.703143296020567,procedure,16,20,3132,50.0
