year,accuracy,MCC,F1,batch_size,epochs,method,training_size,test_size,train_distribution,test_distribution
1978,0,0,0,16,20,only,0,3,nan,66.67
1979,1.0,0.0,1.0,16,20,only,2,2,50.0,100.0
1980,0.3333333333333333,0.0,0.0,16,20,only,2,3,50.0,66.67
1981,0.0,-1.0,0.0,16,20,only,4,2,50.0,50.0
1982,0.16666666666666666,0.0,0.0,16,20,only,6,6,50.0,83.33
1983,0.42857142857142855,0.2581988897471611,0.33333333333333337,16,20,only,8,7,50.0,71.43
1984,0.5,0.3273268353539886,0.5454545454545454,16,20,only,12,10,50.0,80.0
1985,0.25,-0.5773502691896258,0.4,16,20,only,16,4,50.0,75.0
1986,0.0,-1.0,0.0,16,20,only,18,7,50.0,57.14
1987,0.4,0.0,0.0,16,20,only,24,15,50.0,60.0
1988,0.2857142857142857,0.0,0.4444444444444445,16,20,only,36,7,50.0,28.57
1989,0.3333333333333333,-0.2721655269759087,0.4444444444444444,16,20,only,46,15,50.0,80.0
1990,0.625,0.0,0.7692307692307693,16,20,only,52,8,50.0,100.0
1991,0.5416666666666666,0.14484136487558028,0.42105263157894735,16,20,only,52,24,50.0,54.17
1992,0.7391304347826086,0.3386481059780782,0.823529411764706,16,20,only,74,23,50.0,69.57
1993,0.26666666666666666,-0.5640760748177662,0.4210526315789474,16,20,only,88,30,50.0,53.33
1994,0.5294117647058824,-0.041437096508237244,0.6521739130434783,16,20,only,116,34,50.0,58.82
1995,0.5714285714285714,0.06933752452815364,0.6666666666666666,16,20,only,144,21,50.0,66.67
1996,0.42857142857142855,-0.14002800840280097,0.375,16,20,only,158,35,50.0,51.43
1997,0.5,-0.010619158331935476,0.5599999999999999,16,20,only,192,44,50.0,61.36
1998,0.6491228070175439,0.13844450018688323,0.7560975609756098,16,20,only,226,57,50.0,75.44
1999,0.7,-0.04754330548804461,0.8192771084337349,16,20,only,254,50,50.0,88.0
2000,0.6,0.11785113019775792,0.7037037037037038,16,20,only,266,120,50.0,75.0
2001,0.6030534351145038,0.1831186464212102,0.6790123456790124,16,20,only,326,131,50.0,68.7
2002,0.6942675159235668,0.2216934564052662,0.7931034482758622,16,20,only,408,157,50.0,78.34
2003,0.8472906403940886,0.32511786928636,0.9126760563380281,16,20,only,476,203,50.0,90.64
2004,0.8373205741626795,0.30529668125410603,0.9060773480662982,16,20,only,514,209,50.0,88.52
2005,0.8542274052478134,0.21627893250460942,0.9188311688311689,16,20,only,562,343,50.0,92.13
2006,0.8556701030927835,0.1634795461814097,0.9204545454545454,16,20,only,616,582,50.0,93.81
2007,0.7934595524956971,0.2795168975792953,0.8782961460446247,16,20,only,688,581,50.0,92.43
2008,0.7958115183246073,0.17552764264837026,0.8824120603015074,16,20,only,776,573,50.0,93.72
2009,0.7472,0.11099357015380307,0.8500948766603414,16,20,only,848,625,50.0,92.48
2010,0.7883597883597884,0.23322292851953583,0.8744769874476988,16,20,only,942,567,50.0,89.42
2011,0.6862745098039216,0.122437458992086,0.8005540166204985,16,20,only,1062,459,50.0,87.36
2012,0.713855421686747,0.23742691469743293,0.8140900195694717,16,20,only,1178,332,50.0,84.34
2013,0.7138364779874213,0.305475348442199,0.8131416837782341,16,20,only,1282,318,50.0,87.42
2014,0.7833333333333333,0.48083647867143814,0.8579234972677596,16,20,only,1362,240,50.0,85.0
2015,0.6981981981981982,0.28427713644815195,0.7987987987987987,16,20,only,1434,222,50.0,85.59
2016,0.7346938775510204,0.30829134779777523,0.8258928571428571,16,20,only,1498,294,50.0,82.99
2017,0.8317972350230415,0.427245377087353,0.8984700973574409,16,20,only,1598,434,50.0,86.41
2018,0.7712765957446809,0.3902841045134608,0.8547297297297297,16,20,only,1716,376,50.0,86.97
2019,0.7440476190476191,0.2920326913702785,0.8383458646616541,16,20,only,1814,336,50.0,87.5
2020,0.6204379562043796,0.2187142789686737,0.7373737373737372,16,20,only,1898,274,50.0,87.96
2021,0.7150997150997151,0.28991037829690375,0.8188405797101449,16,20,only,1964,351,50.0,90.6
2022,0.8110236220472441,0.3614808947317459,0.888888888888889,16,20,only,2030,127,50.0,92.91
