year,accuracy,MCC,F1,alpha,window,method,training_size,test_size,train_distribution,test_distribution
1972,0,0,0,5,10,after,0,8268,nan,87.55
1971,0,0,0,5,10,after,0,8269,nan,87.54
1970,0,0,0,5,10,after,0,8270,nan,87.53
1969,0,0,0,5,10,after,0,8271,nan,87.52
1973,0,0,0,5,10,after,0,8268,nan,87.55
1974,0,0,0,5,10,after,0,8268,nan,87.55
1975,0,0,0,5,10,after,0,8268,nan,87.55
1977,0.6143324052778114,0.05301512473533908,0.743849493487699,5,10,after,4,8261,50.0,87.6
1978,0.3516523423314369,-0.28329427561673554,0.5018601190476191,5,10,after,4,8261,50.0,87.6
1976,0.8728680295149389,0.030907083914573863,0.932013713694288,5,10,after,2,8267,50.0,87.55
1979,0.7544199564059094,-0.11087531494341524,0.8594204907805352,5,10,after,8,8258,50.0,87.61
1980,0.733890503875969,-0.1148013617303372,0.8455753145427708,5,10,after,12,8256,50.0,87.61
1981,0.7325820913607173,-0.021482275329988604,0.8420073018827403,5,10,after,16,8253,50.0,87.62
1983,0.72116434202547,-0.12066146535139485,0.8368925150762682,5,10,after,26,8245,50.0,87.63
1982,0.6640407223366864,-0.1601558568727515,0.7967145790554415,5,10,after,18,8251,50.0,87.63
1984,0.6306142267540665,-0.15943576323157668,0.7707721280602636,5,10,after,30,8238,50.0,87.64
1985,0.4914924647544968,-0.2017852486913275,0.6498744769874477,5,10,after,34,8228,50.0,87.65
1986,0.591318093385214,-0.1674695448803373,0.7389514563106796,5,10,after,36,8224,50.0,87.66
1987,0.6927102348789096,-0.1416784311183986,0.8172541072591736,5,10,after,42,8217,50.0,87.68
1988,0.671665447451841,-0.10479811749110945,0.8002077305438089,5,10,after,54,8202,50.0,87.73
1989,0.7099450884685784,-0.06878375699454528,0.827290561650803,5,10,after,64,8195,50.0,87.79
1990,0.6914425427872861,0.005699884433070811,0.8105958277052379,5,10,after,70,8180,50.0,87.8
1991,0.7159813999021047,-0.028576399562527804,0.8302990421876142,5,10,after,70,8172,50.0,87.79
1992,0.6855670103092784,0.006007172384993828,0.8060853769300635,5,10,after,92,8148,50.0,87.89
1993,0.6285538461538461,0.03859142284211276,0.7577071290944124,5,10,after,106,8125,50.0,87.94
1994,0.6643607164916615,0.11626813140497665,0.7834542121622698,5,10,after,134,8095,50.0,88.07
1995,0.5916139436794442,0.05162230975601903,0.724149488855371,5,10,after,162,8061,50.0,88.19
1996,0.5990049751243781,0.09420140162136774,0.7277486910994766,5,10,after,176,8040,50.0,88.25
1997,0.5875078076202374,0.09262128423802073,0.7174396714016773,5,10,after,210,8005,50.0,88.41
1998,0.5711594020851651,0.16182555870795062,0.6961011215951576,5,10,after,244,7961,50.0,88.56
1999,0.6227226720647774,0.2246157256939455,0.7405151409676296,5,10,after,272,7904,50.0,88.65
2000,0.7223071046600459,0.2818481956855088,0.8226973416795383,5,10,after,284,7854,50.0,88.66
2001,0.6373157486423584,0.23059195604526048,0.7538394032470381,5,10,after,344,7734,50.0,88.87
2002,0.6886755228199395,0.2576797164048836,0.797189615285751,5,10,after,426,7603,50.0,89.21
2003,0.6633091592801504,0.28329885984711045,0.7745300836406152,5,10,after,494,7446,50.0,89.44
2004,0.7443048460582632,0.30871511944604735,0.8395425402876451,5,10,after,532,7243,50.0,89.41
2005,0.6637759454080182,0.2799307453147614,0.7751259864980508,5,10,after,580,7034,50.0,89.44
2007,0.6385660500900311,0.2920367141363014,0.7506775067750678,5,10,after,706,6109,50.0,88.87
2006,0.6655208489015095,0.29719223003616946,0.775346316000803,5,10,after,634,6691,50.0,89.3
2008,0.6219247467438495,0.2947294386926066,0.7340290150165437,5,10,after,794,5528,50.0,88.49
2009,0.6088799192734612,0.29570241211573034,0.7196991611223603,5,10,after,866,4955,50.0,87.89
2010,0.5863741339491917,0.2965606986523675,0.6948372806270233,5,10,after,960,4330,50.0,87.23
2011,0.6032420940738772,0.3179144402225419,0.7090235821477295,5,10,after,1080,3763,50.0,86.9
2012,0.5995762711864406,0.3342870022353303,0.703429724277068,5,10,after,1196,3304,50.0,86.83
2015,0.6172328086164043,0.34261282429124346,0.7220216606498195,5,10,after,1452,2414,50.0,87.28
2014,0.5723436322532027,0.3126084783571188,0.6778313936985525,5,10,after,1380,2654,50.0,87.08
2013,0.5814266487213997,0.31600251146743696,0.6872800402212168,5,10,after,1300,2972,50.0,87.11
2016,0.6104014598540146,0.3405309079161004,0.7159015302727876,5,10,after,1516,2192,50.0,87.45
2019,0.5634191176470589,0.27971850147735305,0.679703304113284,5,10,after,1832,1088,50.0,89.25
2018,0.5969945355191257,0.3159175185250069,0.708498023715415,5,10,after,1734,1464,50.0,88.66
2017,0.6201264488935722,0.3406486669918807,0.7276161692482056,5,10,after,1616,1898,50.0,88.15
2020,0.5531914893617021,0.27414453709580916,0.6725146198830411,5,10,after,1916,752,50.0,90.03
2021,0.5899581589958159,0.287368042346785,0.711764705882353,5,10,after,1982,478,50.0,91.21
2022,0.6299212598425197,0.3109677933854283,0.7513227513227513,5,10,after,2048,127,50.0,92.91
2021,0.602510460251046,0.29540994582403357,0.7230320699708455,5,10,after,1982,478,50.0,91.21
