year,accuracy,MCC,F1,window,method,training_size,test_size,train_distribution,test_distribution

1978,0.3333333333333333,0.0,0.0,10,only,4,3,50.0,66.67

1979,0.0,0.0,0.0,10,only,8,2,50.0,100.0

1980,0.6666666666666666,0.0,0.8,10,only,12,3,50.0,66.67

1981,0.5,0.0,0.6666666666666666,10,only,16,2,50.0,50.0

1982,0.8333333333333334,0.0,0.9090909090909091,10,only,18,6,50.0,83.33

1983,0.7142857142857143,0.0,0.8333333333333333,10,only,26,7,50.0,71.43

1984,0.9,0.6666666666666666,0.9411764705882353,10,only,30,10,50.0,80.0

1985,0.75,0.0,0.8571428571428571,10,only,34,4,50.0,75.0

1986,0.42857142857142855,-0.3535533905932738,0.6,10,only,36,7,50.0,57.14

1987,0.6,0.0,0.7499999999999999,10,only,42,15,50.0,60.0

1988,0.2857142857142857,0.0,0.4444444444444445,10,only,54,7,50.0,28.57

1989,0.8,0.0,0.888888888888889,10,only,64,15,50.0,80.0

1990,1.0,0.0,1.0,10,only,70,8,50.0,100.0

1991,0.4583333333333333,-0.2773500981126146,0.6285714285714286,10,only,70,24,50.0,54.17

1992,0.5652173913043478,-0.25617376914899,0.7222222222222223,10,only,92,23,50.0,69.57

1993,0.5333333333333333,0.03340765523905305,0.65,10,only,106,30,50.0,53.33

1994,0.4411764705882353,-0.11952286093343935,0.48648648648648646,10,only,134,34,50.0,58.82

1995,0.3333333333333333,-0.337099931231621,0.41666666666666663,10,only,162,21,50.0,66.67

1996,0.5142857142857142,0.02333800140046683,0.5641025641025642,10,only,176,35,50.0,51.43

1997,0.5454545454545454,-0.2146403054055949,0.7058823529411764,10,only,210,44,50.0,61.36

1998,0.7368421052631579,-0.07624928516630233,0.8484848484848485,10,only,244,57,50.0,75.44

1999,0.88,0.0,0.9361702127659575,10,only,272,50,50.0,88.0

2000,0.725,0.020528212319963927,0.8374384236453202,10,only,284,120,50.0,75.0

2001,0.7404580152671756,0.33733035327957045,0.8396226415094341,10,only,344,131,50.0,68.7

2002,0.7898089171974523,0.2931151928775822,0.8725868725868727,10,only,426,157,50.0,78.34

2003,0.896551724137931,0.2394561624676442,0.9442970822281168,10,only,494,203,50.0,90.64

2004,0.8995215311004785,0.33645071174597857,0.9460154241645246,10,only,532,209,50.0,88.52

2005,0.9125364431486881,0.19258287082661618,0.9537037037037038,10,only,580,343,50.0,92.13

2006,0.9347079037800687,0.28372939798778896,0.9657657657657659,10,only,634,582,50.0,93.81

2007,0.9122203098106713,0.31031667855463135,0.9529085872576177,10,only,706,581,50.0,92.43

2008,0.8760907504363001,0.2137810026308509,0.9323164918970447,10,only,794,573,50.0,93.72

2009,0.88,0.31518790420756165,0.9336870026525199,10,only,866,625,50.0,92.48

2010,0.8412698412698413,0.28238558891813237,0.909274193548387,10,only,960,567,50.0,89.42

2011,0.8061002178649237,0.28451899606356873,0.8848641655886157,10,only,1080,459,50.0,87.36

2012,0.7379518072289156,0.210528725646512,0.835538752362949,10,only,1196,332,50.0,84.34

2013,0.789308176100629,0.4440788251420955,0.8667992047713718,10,only,1300,318,50.0,87.42

2014,0.7791666666666667,0.359357981288981,0.8608923884514434,10,only,1380,240,50.0,85.0

2015,0.7927927927927928,0.3483717825893783,0.8722222222222223,10,only,1452,222,50.0,85.59

2016,0.7653061224489796,0.31662065846272835,0.8509719222462203,10,only,1516,294,50.0,82.99

2017,0.8755760368663594,0.4703728813559322,0.928,10,only,1616,434,50.0,86.41

2018,0.8191489361702128,0.4349360937505218,0.8892508143322475,10,only,1734,376,50.0,86.97

2019,0.8065476190476191,0.32023488793268584,0.8841354723707665,10,only,1832,336,50.0,87.5

2020,0.7518248175182481,0.2925275397770126,0.8447488584474886,10,only,1916,274,50.0,87.96

2021,0.8518518518518519,0.2560537351534748,0.9166666666666666,10,only,1982,351,50.0,90.6

2022,0.889763779527559,0.37432868198397573,0.9391304347826087,10,only,2048,127,50.0,92.91

