,model,random_state,accuracy_general,MCC_general,F1_general,accuracy_ensemble,MCC_ensemble,F1_ensemble,accuracy_improved_ensemble,MCC_improved_ensemble,F1_improved_ensemble,alpha,training_size,test_size,train_distribution,test_distribution
0,BERT,1,0.7410628019323672,0.2831296210516558,0.8393285371702637,0.9033816425120772,0.1463587295125432,0.9488229273285568,0.9147286821705426,0.3730404696956163,0.9541427826993224,,5108,2064,49.98,90.79
1,BERT,2,0.7538759689922481,0.2888562775802665,0.849436870183758,0.9118217054263564,0.2156323364732833,0.9532614278376992,0.8999028182701652,0.251820775176293,0.946101517530089,,5146,2058,50.02,91.59
2,BERT,3,0.7544968400583374,0.2805845221388873,0.8498364555456438,0.9017987360233348,0.1213200160033031,0.947938144329897,0.8955588091752075,0.250691420411849,0.943565400843882,,5129,2049,49.99,91.22
3,BERT,4,0.7357386640663092,0.2725616184732821,0.8362537764350455,0.9122379327157484,0.2516633025304636,0.9533678756476685,0.8963325183374083,0.23063657715608,0.9441517386722869,,5134,2045,49.96,91.39
4,BERT,5,0.7731051344743276,0.2632221850218116,0.8636096413874191,0.9007334963325184,0.098565653676778,0.947450168263008,0.8926996570308672,0.1789480430499802,0.9423835832675612,,5120,2041,49.98,90.98
5,BERT,6,0.7349806201550387,0.2927006345464153,0.8351913226875565,0.9089147286821704,0.1217869635356629,0.951967296882984,0.9067055393586004,0.2332964340959789,0.950207468879668,,5142,2058,50.0,91.55
6,BERT,7,0.7513408093612872,0.2532458160524808,0.8488441019561352,0.9151633349585568,0.0828659513279259,0.9555669050051072,0.9096238397655104,0.2540695913238467,0.9517601043024772,,5157,2047,50.01,91.84
7,BERT,8,0.7536585365853659,0.305593911559934,0.848666466886425,0.9073170731707316,0.1447373617267383,0.9509803921568628,0.9001468428781204,0.2008279641548012,0.9465688842325825,,5138,2043,49.96,91.48
8,BERT,9,0.7437530622243999,0.2727710910472744,0.8425173140620295,0.905438510534052,0.0792461133821449,0.9501163091238044,0.9003436426116839,0.2713638684329605,0.946225165562914,,5148,2037,49.98,91.65
9,BERT,10,0.7014563106796117,0.2536593045430199,0.8108274377114735,0.9135922330097088,0.0884580071950973,0.95470737913486,0.901846452866861,0.2498411464654924,0.9472584856396866,,5140,2058,49.96,91.59
