Article,Classifier,Accuracy,MCC,F1,part,training_size,train_distribution
All,RF,0.7539803707742639,0.5090919039455057,0.7455055432182107,facts,5502,50.0
2,RF,0.674025974025974,0.3529105148505376,0.6446316913030886,facts,462,50.0
3,RF,0.6079939668174963,0.21634018656765347,0.5966178168170854,facts,1326,50.0
5,RF,0.6281124497991968,0.2562811981917727,0.6315090162422609,facts,996,50.0
6,RF,0.7436592449177154,0.48793830061974086,0.7499524962930364,facts,2066,50.0
8,RF,0.6178846153846154,0.24083991649259673,0.6531480791684755,facts,1040,50.0
10,RF,0.644973544973545,0.29189279978186705,0.6236729887570387,facts,378,50.0
11,RF,0.7692307692307692,0.5414276368200511,0.7801124148787701,facts,104,50.0
13,RF,0.7709183673469389,0.548226778548177,0.7520791034402284,facts,392,50.0
14,RF,0.7153846153846154,0.4312235414035186,0.7216002105898485,facts,546,50.0
